NEST_ID,HATCHING EXPOSURE,FLEDGING EXPOSURE,Year_Nest,Date_FirstMarked,NestMarker,WaypointCode,Elevation_metres,Latitude_WGS84,Longitude_WGS84,ASTRODOS_UTM_E,ASTRODOS_UTM_N,TYPE,PARENT 1m,PARENT 2f,PARENT3,SEASON,HATCHED,fledged,failed,cause of failure,nested before,tracked?
MASPE_2005_H2142,16,0,2005,27/01/2006,604,E4,,,,202800,8232825,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2005_H2144,0,28,2005,28/02/2006,606,E3,,,,202714,8232887,NATURAL,,,,HOT,TRUE,,TRUE,,,
MASPE_2005_H2145,0,14,2005,28/02/2006,607,E4,,,,202800,8232825,NATURAL,,,,HOT,TRUE,,TRUE,,,
MASPE_2005_H2148,0,14,2005,23/03/2006,610,E4,,,,202800,8232825,NATURAL,,,,HOT,TRUE,,TRUE,,,
MASPE_2005_H228,13,0,2005,26/10/2005,228,E4,,,,202800,8232825,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2005_H229,71,0,2005,26/10/2005,229,E4,,,,202800,8232825,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2005_H3307,30,0,2005,27/01/2006,600,E4,,,,202800,8232825,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2005_H342,14.5,0,2005,21/11/2005,342,E4,,,,202800,8232825,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2005_H350,19,0,2005,20/12/2005,350,E1,,,,202650,8232895,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2005_H378,19,0,2005,20/12/2005,378,E1,,,,202650,8232895,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2005_H397,19,0,2005,20/12/2005,397,E1,,,,202650,8232895,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2005_C192,52,0,2005,27/06/2005,192,E1,,,,202650,8232895,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C193,15.5,67,2005,27/06/2005,193,E1,,,,202650,8232895,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2005_C194,0,52,2005,27/06/2005,194,E3,,,,202714,8232887,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2005_C195,15.5,36.5,2005,27/06/2005,195,E3,,,,202714,8232887,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2005_C196,0,52,2005,27/06/2005,196,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2005_C197,52,0,2005,27/06/2005,197,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C198,52,0,2005,27/06/2005,198,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C199,15.5,15.5,2005,27/06/2005,199,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,,TRUE,,,
MASPE_2005_C200,15.5,36.5,2005,27/06/2005,200,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2005_C201,0,52,2005,27/06/2005,201,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2005_C202,15.5,0,2005,27/06/2005,202,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C203,15.5,67,2005,27/06/2005,203,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2005_C204,15.5,0,2005,27/06/2005,204,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C205,15.5,36.5,2005,27/06/2005,205,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2005_C206,15.5,0,2005,27/06/2005,206,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C207,15.5,36.5,2005,27/06/2005,207,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2005_C208,15.5,0,2005,27/06/2005,208,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C209,15.5,67,2005,27/06/2005,209,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2005_C210,21,0,2005,28/07/2005,210,E3,,,,202714,8232887,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C211,0,21,2005,28/07/2005,211,E3,,,,202714,8232887,NATURAL,,,,COOL,TRUE,,TRUE,,,
MASPE_2005_C212,21,0,2005,28/07/2005,212,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C213,0,51.5,2005,28/07/2005,213,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2005_C214,0,21,2005,28/07/2005,214,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,,TRUE,,,
MASPE_2005_C215,0,21,2005,28/07/2005,215,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,,TRUE,,,
MASPE_2005_C216,0,21,2005,28/07/2005,216,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,,TRUE,,,
MASPE_2005_C217,0,21,2005,28/07/2005,217,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,,TRUE,,,
MASPE_2005_C218,0,21,2005,28/07/2005,218,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,,TRUE,,,
MASPE_2005_C4006,16,0,2005,26/05/2005,151,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C182,14.5,0,2006,29/05/2006,182,PI,,,,202405,8232507,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C183,14.5,32,2006,29/05/2006,183,PI,,,,202405,8232507,NATURAL,,,,COOL,TRUE,,TRUE,,,
